Pathway,Aims,Cell type,Senescence induced,Senescence type,Drugs ,Dosage [uM],Exposure time [h],Controls ,Device ,Results ,Analysis ,Sources ,N
Bcl-2 familly ,Test,MEF Ercc1 -/-,5x 20%O2,oxidative stress,"Fisetin, Restrevastrol ,luteolin, Rutin, EGLG, Curcumin, Pirfenidone, Acepigenin,  Myricetin, Catechin, Quercetin ",5,,Hoechst (all cell) C12FDG (senescent) staining ,IN Cell Anlayzer,fisetin get best results as senolytics ,,Fisetin is a senotherapeutic that extends health and lifespan ,x
,Test,MEF Ercc1 -/-,5x 20%O2,oxidative stress,Fisetin ,"1 , 6.75 , 7.5 , 15 ",,Hoechst (all cell) C12FDG (senescent) staining ,IN Cell Anlayzer,Senolytics efficiency correlated with dosage ,,,x
,,IMR90 ,24h epoptoside ,chemotherapy ,,,,,,,,,x
Bcl-XL inhibitors,Test,HUVEC,10Gy radiation ,,"Fisetin ,A1331852,  A1155463",0-60,72,Caspase 3/7 activity assay + ATPLite kit ,Scan plate reader ,Effective resultes on HUVEC but not on IMR90,Senescent HUVEC more senssitive to BCL-XL inhibitors ,"New agents that target senescent cells: the flavone, fisetin, and the BCL-XL inhibitors, A1331852 and A1155463",
,,IMR90 ,,,,,,,,,,,
,,Human preadipocyties ,,,,,,,,,,,
,Test,IMR90 ,,DIS /OIS /RS,ABT737,"1, 5, 10",,"BCL-W, BCL-XL, BCL-2, MCL-1, p16, p53",Western blot ,inhibition ,,Directed elimination of senescent cells by inhibition of BCL-W and BCL-XL,
,,MEF ,,,,,,,,,,,
,Test,WI-38,RAS ,IR/OIS/RS,ABT263,"0,0.6,1.25, 2.5,5",,PI+ annexinV,flow cytometric apotosis + viability quantification,,,Clearance of senescent cells by ABT263 rejuvenates aged hematopoietic stem cells in mice,
,,WI-38,,IR,ABT263,0-1,,PI+ annexinV,flow cytometric apotosis + viability quantification,,,,
,,IMR90 ,,IR,,,,,,,,,
,,REC,,IR,,,,,,,,,
,,MEF,,IR,,,,,,,,,
Bcl-2 familly ,Test,MEF Ercc1 -/-,5x 20%O2,oxidative stress,"Ramacyn, NDGA, Curcumin , Resveratral, Dasatinib+Quercetin, ABT263 ",,48,Substrat Xgal + C12FDG ,flow cytometry +IN Cell Analyzer 6000 confocal image ,,,Identification of HSP90 inhibitors as a novel class of senolytics,
P13K/AKT ,Test,MEF Ercc1 -/-,5x 20%O2,oxidative stress,"17-AAG, Geldanamycin ","0.03, 0.1, 0.3, 1",48,viability,Cell Tax green assay ,,,,
,,MEF Ercc1 -/-,5x 20%O2,oxidative stress,17-DMAG,0-1,48,viability,Cell Tax green assay ,,,,
,,,,,,,,,Flow cytometry ,,,,
,Test,MSC Ercc1 -/-,5x 20%O2,oxidative stress,17-DMAG,0.1,24,annexin V/ 7AAD / C12FDG,Flow cytometry ,,,,
,,IMR90 ,etoposide ,genotoxicity stress,,,,,,,,,
,,WI-38,30 passages,RS,,,,,,,,,
,Test,MEF Ercc1 -/-,5x 20%O2,oxidative stress,17-DMAG,0.1,,"p21, p16, yH2AX",qRT-PCR,MSC (-60%) SC ; WI38(-30%) , Inhibition of HSP90 lead to destabilisation of AKT and ERK and increased apoptosis,,
,,,,,,,,Cell diameter and volume ,FISH ,,,,
,,,,,,,,"p16, IL-6",viewRNA,,,,
,,,,,,,,"HSP90, pAKT, AKT, Actin ",Immunoblotting,"Inhibition of HSP90, increase in AKT",,,
P13K/AKT ,Test,IMR90 ,,IR induced ,FOXO4-DRI ,,"0,8,24,48","p21, pSer15-p53","p21 decreased, p53 increase",,,Targeted Apoptosis of Senescent Cells Restores Tissue Homeostasis in Response to Chemotoxicity and Aging ,
,Test,IMR90 ,,IR induced ,FOXO4-DRI ,0-100,,"Viability , density ",xCELLigence,,,,
,,,,,,,,caspase 3/7 activity assay NucViaiv488,confocal imaging ,,,,
,Test,IMR90 ,,IR induced ,"FOXO4-DRI , ABT737, D+Q ","0-20, 0-2, 0-400",,Viability,"D+Q inefficient, ABT737 reduce controllled cells viability as well, FOXO4-DRI more selesctive against senescent ",,,,
,Test,IMR90 ,,IR induced ,FOXO4-DRI ,,,Viability ,FOXO4-DRI reduced around 60% of IMR90 WI-38 senescent cell  and 50% of BJ senescent cell while less than 10% of control cell change.,,,,
,,BJ,,IR induced ,,,,,,,,,
,,WI-38,,IR induced ,,,,,,,,,
,Test,IMR90 ,doxorubicin induced ,,"FOXO4-DRI, ABT737","0-20, 0-5",,SAB Gal ,DAPI,"Viability test, ABT737 reduced viability in control cell as well ",FOXO4-DRI proved to be more selective against senescence. ,,
,,,,,,,,"p16, FOXO4, IL-1a, IL-6",,,,,
Mitochondria ,Test,4T1,doxorubicin 4 days,,MitoTam,"0.05, 0.1, 0.5, 1",72,Hoechst (all cell) Annexin V ,Flow cytometry ,,,Selective elimination of senescent cells by mitochondrial targeting is regulated by ANT2,
,,MCF7,doxurubicin 8 days,,,,,"p16, p21, PAI",qRT-PCR,,,,
,Test,BJ,100 uM BurdU,,MitoTam,"1,2.5,5",48,Hoechst (all cell) Annexin V ,Flow cytometry,No damage observed on control cell and high SC apoptosis ,,,
,,BJ,,RS,,,,,,,,,
,,RPE-1,100 uM BurdU,,,,,,,,,,
SA-B-gal,Tracking,SK-MEL-103,pablocidil 7 days,oxidative stress,GalNP(rhodamine) ,,,Lysotracker,IVIS spectrum,,,A versatile drug delivery system targeting senescent cells,
,,NCl-H226,pablocidil 7 days,oxidative stress,,,,SABgal staining kit,,,,,
,,UT-SCC,pablocidil 7 days,oxidative stress,,,,Hoechst,,,,,
,Tracking,NCl-H226,pablocidil 7 days,oxidative stress,GalNP(icg) ,,,,IVIS spectrum,,,,
,Test,SK-MEL-103,pablocidil 14 days,,GalNP(dox)    GalNP(navitoclax) ,,,annexin V,confocal microscopy ,,,,
,,,,,,,,"FOXM1, p21, ACTB, P-RB1 S887/811",western blot ,No therapeutic effect on tumour without palbocicli senescence induced ,,,
,,,,,,,,"Myh7, Nppa",western blot ,,,,
SA-G-Gal,Test,IMR90 ,RAS with 4OHT 6 days  ,OIS,DMG,2.5,,Caspase 3/7 reagent ,,,,Galactose-modified duocarmycin prodrugs as senolytics,
,,,,,,0-10,,,Cell survival calculation ,,,,
,Test,IMR90,etoposide,,"DMG, ABT263","1,5,10",,,Cell survival calculation ,ABT263 better except HMEC,,,
,,IMR90,doxorubicin ,,,,,,,,,,
,,IMR90,Gy,,,,,,,,,,
,,IMR90,,RS,,,,,,,,,
,,HMEC,ER:RAS with 4OHT 6 days,,"DMG, ABT263",,,,Cell survival calculation ,No effect on ABT263 but DMG inefficient ,,,
,Test,IMR90,ER:RAS with shRNA knockdown B gal,,,,,,,,,,
CD9 receptors,Tracking,HDF ,P8/P20/P23,RS,CD9-Lac/CaCO3(coumarin-6) ,,,confocal microscopy,cellular uptake,,,Progressive slowdown/prevention of cellular senescence by CD9 targeted delivery of rapamycin using lactose-wrapped calcium carbonate nanoparticles,
,,,,,,,,ACS assessements,,,,,
,Test,HDF,P20/P23,RS,CD9-Lac/CaCO3(rapamacyn) ,,, H2DCF,FACS,,ROS level diminution,,
,,,,,,,,"p53,p21,CD9 and cyclin D1",western blot ,,cell cycle blocking,,
,,,,,,,,"IL-6, IL-8",PCR,,,,
,,,,,,,,BruD staining ,confocal images ,,,,
B2MG,Test,EJp16,tet removal ,OIS,B2M nanoMIPS fluorescein tagged ,,,,Fluorescent microscopy particules quantification with FACS and ImageJ,,,Detecting and targeting senescent cells using molecularly imprinted nanoparticles,
,,,,,,,,24h incubation PI ,FACS,,,,
,,,,,,,,cell viability ,MTS,,,,
,Test,EJp16,tet removal ,OIS,"Oligomycin, gramicidin, ABT263, Quercetin, Dasatinib ","0.01, 0.1, 1, 5, 10",48,PI  staining ,FACS,,,,
,,,,,,,,viability ,MTS,,,,
,Test,EJp16,tet removal ,OIS,"B2M nanoMIPS dasatinib conjugated, dasatinib ",10,24,viability ,MTS,,,,
DPP4,Tracking,WI-38,IR,,,,,mRNA ,RT-qPCR,,,Identification of senescent cell surface targetable protein DPP4,
,,HUVEC,4Gy,,,,,"DPP4, ACTB",Western blot ,,,,
,,HAEC,4Gy,,,,,,,,,,
,,WI-38,IR,,Anti-DPP4 antibody targeting DPP4 surface + Nk cells,,,"metabolic, viability ",MTT,,,,
Bcl-2 family ,Test,BJ,HP treatment ,,"Quercetin, MNP, MNPQ","2.5, 5, 7.5, 10, 15",24,"metabolic, viability ",MTT,,,AMPK-mediated senolytic and senostatic activity of quercetin surface functionalized Fe3O4 nanoparticles during oxidant-induced senescence in human fibroblasts,
,,,,,,,,Cell proliferation ,Ki67 staining,,,,
,,,,,,,,cell counting ,TC10,,,,
,,,,,,,,Muse kit ,Cycle cell progresssion ,,,,
,,,,,,,,"p21, p53, B actin, GLUT1, LC3B, IFNB, pAMK",western blot ,,,,
,,,,,,,,Cell membrane permeability ,dye exclusion assay ,,,,
,,,,,,,,Extracellular acidification rate (ECAR) and Oxygen comsumption rate (OCR),,,,,
